,,Year,Month,Day,Hour,Minute,Second,x,y,theta,Record,U (m s^-1),V (m s^-1),W (m s^-1),TSonic (K),RH (%),T_HMP60 (C)
p1,382,2020.0,10.0,8.0,15.0,0.0,41.2,2.8,0.7,0.0,8246360.0,-0.047,0.008,-0.006,296.7,33.91,22.53
p1,383,2020.0,10.0,8.0,15.0,0.0,41.3,2.8,0.7,0.0,8246361.0,-0.047,0.009000000000000001,-0.006,296.7,33.91,22.53
p1,384,2020.0,10.0,8.0,15.0,0.0,41.4,2.8,0.7,0.0,8246362.0,-0.047,0.009000000000000001,-0.006,296.7,33.91,22.53
p1,385,2020.0,10.0,8.0,15.0,0.0,41.5,2.8,0.7,0.0,8246363.0,-0.027999999999999997,-0.002,0.025,296.7,33.93,22.55
p1,386,2020.0,10.0,8.0,15.0,0.0,41.6,2.8,0.7,0.0,8246364.0,-0.027999999999999997,-0.002,0.025,296.7,33.91,22.53
p1,387,2020.0,10.0,8.0,15.0,0.0,41.7,2.8,0.7,0.0,8246365.0,-0.018000000000000002,-0.040999999999999995,0.044000000000000004,296.7,33.91,22.53
p1,388,2020.0,10.0,8.0,15.0,0.0,41.8,2.8,0.7,0.0,8246366.0,-0.018000000000000002,-0.040999999999999995,0.044000000000000004,296.7,33.91,22.53
p1,389,2020.0,10.0,8.0,15.0,0.0,41.9,2.8,0.7,0.0,8246367.0,-0.018000000000000002,-0.040999999999999995,0.044000000000000004,296.7,33.91,22.53
p1,390,2020.0,10.0,8.0,15.0,0.0,42.0,2.8,0.7,0.0,8246368.0,0.012,-0.040999999999999995,0.025,296.7,33.91,22.53
p1,391,2020.0,10.0,8.0,15.0,0.0,42.1,2.8,0.7,0.0,8246369.0,0.012,-0.040999999999999995,0.025,296.7,33.91,22.53
p1,392,2020.0,10.0,8.0,15.0,0.0,42.2,2.8,0.7,0.0,8246370.0,0.012,-0.040999999999999995,0.025,296.7,33.91,22.53
p1,393,2020.0,10.0,8.0,15.0,0.0,42.3,2.8,0.7,0.0,8246371.0,0.012,-0.040999999999999995,0.025,296.7,33.91,22.53
p1,394,2020.0,10.0,8.0,15.0,0.0,42.4,2.8,0.7,0.0,8246372.0,0.012,-0.040999999999999995,0.025,296.7,33.91,22.53
p1,395,2020.0,10.0,8.0,15.0,0.0,42.5,2.8,0.7,0.0,8246373.0,-0.018000000000000002,-0.040999999999999995,0.044000000000000004,296.8,33.91,22.53
p1,396,2020.0,10.0,8.0,15.0,0.0,42.6,2.8,0.7,0.0,8246374.0,-0.018000000000000002,-0.040999999999999995,0.044000000000000004,296.8,33.91,22.53
p1,397,2020.0,10.0,8.0,15.0,0.0,42.7,2.8,0.7,0.0,8246375.0,-0.008,0.009000000000000001,0.044000000000000004,296.8,33.96,22.53
p1,398,2020.0,10.0,8.0,15.0,0.0,42.8,2.8,0.7,0.0,8246376.0,-0.008,0.009000000000000001,0.044000000000000004,296.8,33.91,22.53
p1,399,2020.0,10.0,8.0,15.0,0.0,42.9,2.8,0.7,0.0,8246377.0,-0.008,0.009000000000000001,0.044000000000000004,296.8,33.91,22.53
p1,400,2020.0,10.0,8.0,15.0,0.0,43.0,2.8,0.7,0.0,8246378.0,-0.008,0.009000000000000001,0.044000000000000004,296.9,33.91,22.53
p1,401,2020.0,10.0,8.0,15.0,0.0,43.1,2.8,0.7,0.0,8246379.0,-0.008,0.009000000000000001,0.044000000000000004,296.9,33.91,22.53
p1,402,2020.0,10.0,8.0,15.0,0.0,43.2,2.8,0.7,0.0,8246380.0,-0.037000000000000005,0.067,0.083,297.0,33.91,22.53
p1,403,2020.0,10.0,8.0,15.0,0.0,43.3,2.8,0.7,0.0,8246381.0,-0.038,0.067,0.083,297.0,33.91,22.53
p1,404,2020.0,10.0,8.0,15.0,0.0,43.4,2.8,0.7,0.0,8246382.0,-0.038,0.067,0.083,297.0,33.91,22.53
p1,405,2020.0,10.0,8.0,15.0,0.0,43.5,2.8,0.7,0.0,8246383.0,-0.038,0.067,0.083,297.0,33.91,22.53
p1,406,2020.0,10.0,8.0,15.0,0.0,43.6,2.8,0.7,0.0,8246384.0,-0.037000000000000005,0.067,0.083,297.0,33.91,22.53
p1,407,2020.0,10.0,8.0,15.0,0.0,43.7,2.8,0.7,0.0,8246385.0,-0.057,0.018000000000000002,0.064,296.9,33.91,22.53
p1,408,2020.0,10.0,8.0,15.0,0.0,43.8,2.8,0.7,0.0,8246386.0,-0.057,0.018000000000000002,0.064,296.9,33.91,22.53
p1,409,2020.0,10.0,8.0,15.0,0.0,43.9,2.8,0.7,0.0,8246387.0,-0.057,0.018000000000000002,0.064,296.9,33.91,22.53
p1,410,2020.0,10.0,8.0,15.0,0.0,44.0,2.8,0.7,0.0,8246388.0,-0.027999999999999997,-0.002,0.09300000000000001,296.9,33.94,22.57
p1,411,2020.0,10.0,8.0,15.0,0.0,44.1,2.8,0.7,0.0,8246389.0,-0.027999999999999997,-0.002,0.09300000000000001,296.9,33.92,22.53
p1,412,2020.0,10.0,8.0,15.0,0.0,44.2,2.8,0.7,0.0,8246390.0,-0.008,0.009000000000000001,0.044000000000000004,296.8,33.92,22.53
p1,413,2020.0,10.0,8.0,15.0,0.0,44.3,2.8,0.7,0.0,8246391.0,-0.008,0.009000000000000001,0.044000000000000004,296.8,33.92,22.53
p1,414,2020.0,10.0,8.0,15.0,0.0,44.4,2.8,0.7,0.0,8246392.0,-0.008,0.008,0.044000000000000004,296.8,33.93,22.53
p1,415,2020.0,10.0,8.0,15.0,0.0,44.5,2.8,0.7,0.0,8246393.0,-0.008,0.047,0.07400000000000001,296.7,33.93,22.53
p1,416,2020.0,10.0,8.0,15.0,0.0,44.6,2.8,0.7,0.0,8246394.0,-0.008,0.048,0.07400000000000001,296.7,33.93,22.53
p1,417,2020.0,10.0,8.0,15.0,0.0,44.7,2.8,0.7,0.0,8246395.0,-0.008,0.047,0.07400000000000001,296.7,33.93,22.53
p1,418,2020.0,10.0,8.0,15.0,0.0,44.8,2.8,0.7,0.0,8246396.0,-0.008,0.047,0.07400000000000001,296.7,33.93,22.53
p1,419,2020.0,10.0,8.0,15.0,0.0,44.9,2.8,0.7,0.0,8246397.0,-0.008,0.047,0.073,296.7,33.93,22.53
p1,420,2020.0,10.0,8.0,15.0,0.0,45.0,2.8,0.7,0.0,8246398.0,-0.008,0.047,0.073,296.7,33.93,22.53
p1,421,2020.0,10.0,8.0,15.0,0.0,45.1,2.8,0.7,0.0,8246399.0,-0.008,0.048,0.07400000000000001,296.7,33.93,22.53
p1,422,2020.0,10.0,8.0,15.0,0.0,45.2,2.8,0.7,0.0,8246400.0,-0.008,0.008,0.044000000000000004,296.7,33.95,22.53
p1,423,2020.0,10.0,8.0,15.0,0.0,45.3,2.8,0.7,0.0,8246401.0,-0.008,0.008,0.044000000000000004,296.7,33.93,22.53
p1,424,2020.0,10.0,8.0,15.0,0.0,45.4,2.8,0.7,0.0,8246402.0,-0.008,0.008,0.044000000000000004,296.7,33.93,22.53
p1,425,2020.0,10.0,8.0,15.0,0.0,45.5,2.8,0.7,0.0,8246403.0,-0.008,0.008,0.044000000000000004,296.7,33.93,22.53
p1,426,2020.0,10.0,8.0,15.0,0.0,45.6,2.8,0.7,0.0,8246404.0,-0.008,0.008,0.044000000000000004,296.7,33.93,22.53
p1,427,2020.0,10.0,8.0,15.0,0.0,45.7,2.8,0.7,0.0,8246405.0,-0.008,0.048,0.07400000000000001,296.8,33.93,22.53
p1,428,2020.0,10.0,8.0,15.0,0.0,45.8,2.8,0.7,0.0,8246406.0,-0.008,0.047,0.073,296.8,33.93,22.53
p1,429,2020.0,10.0,8.0,15.0,0.0,45.9,2.8,0.7,0.0,8246407.0,-0.008,0.047,0.07400000000000001,296.8,33.93,22.53
