,,Year,Month,Day,Hour,Minute,Second,x,y,theta,Record,U (m s^-1),V (m s^-1),W (m s^-1),TSonic (K),RH (%),T_HMP60 (C)
p1,330,2020.0,9.0,29.0,11.0,42.0,59.8,2.8,0.7,0.0,3230570.0,-0.008,-0.201,0.18600000000000003,298.0,43.25,23.27
p1,331,2020.0,9.0,29.0,11.0,42.0,59.9,2.8,0.7,0.0,3230571.0,-0.006999999999999999,-0.20199999999999999,0.18600000000000003,298.0,43.25,23.29
p1,332,2020.0,9.0,29.0,11.0,43.0,0.0,2.8,0.7,0.0,3230572.0,-0.008,-0.203,0.18600000000000003,298.0,43.26,23.28
p1,333,2020.0,9.0,29.0,11.0,43.0,0.1,2.8,0.7,0.0,3230573.0,-0.055999999999999994,-0.29100000000000004,0.205,298.2,43.23,23.28
p1,334,2020.0,9.0,29.0,11.0,43.0,0.2,2.8,0.7,0.0,3230574.0,-0.057,-0.29,0.20600000000000002,298.2,43.24,23.29
p1,335,2020.0,9.0,29.0,11.0,43.0,0.3,2.8,0.7,0.0,3230575.0,-0.008,-0.201,0.18600000000000003,298.0,43.25,23.28
p1,336,2020.0,9.0,29.0,11.0,43.0,0.4,2.8,0.7,0.0,3230576.0,-0.006999999999999999,-0.20199999999999999,0.18600000000000003,298.0,43.23,23.3
p1,337,2020.0,9.0,29.0,11.0,43.0,0.5,2.8,0.7,0.0,3230577.0,-0.008,-0.20199999999999999,0.185,298.0,43.25,23.28
p1,338,2020.0,9.0,29.0,11.0,43.0,0.6,2.8,0.7,0.0,3230578.0,-0.066,-0.3,0.215,297.8,43.23,23.28
p1,339,2020.0,9.0,29.0,11.0,43.0,0.7,2.8,0.7,0.0,3230579.0,-0.066,-0.3,0.215,297.8,43.25,23.29
p1,340,2020.0,9.0,29.0,11.0,43.0,0.8,2.8,0.7,0.0,3230580.0,-0.055999999999999994,-0.20199999999999999,0.205,297.6,43.23,23.28
p1,341,2020.0,9.0,29.0,11.0,43.0,0.9,2.8,0.7,0.0,3230581.0,-0.055999999999999994,-0.20199999999999999,0.20600000000000002,297.6,43.24,23.28
p1,342,2020.0,9.0,29.0,11.0,43.0,1.0,2.8,0.7,0.0,3230582.0,-0.057,-0.20199999999999999,0.205,297.6,43.25,23.28
p1,343,2020.0,9.0,29.0,11.0,43.0,1.1,2.8,0.7,0.0,3230583.0,-0.017,-0.212,0.245,297.5,43.23,23.29
p1,344,2020.0,9.0,29.0,11.0,43.0,1.2,2.8,0.7,0.0,3230584.0,-0.017,-0.212,0.244,297.5,43.25,23.28
p1,345,2020.0,9.0,29.0,11.0,43.0,1.3,2.8,0.7,0.0,3230585.0,0.013000000000000001,-0.212,0.235,297.7,43.23,23.28
p1,346,2020.0,9.0,29.0,11.0,43.0,1.4,2.8,0.7,0.0,3230586.0,0.012,-0.212,0.23399999999999999,297.6,43.25,23.29
p1,347,2020.0,9.0,29.0,11.0,43.0,1.5,2.8,0.7,0.0,3230587.0,0.012,-0.212,0.23399999999999999,297.6,43.25,23.27
p1,348,2020.0,9.0,29.0,11.0,43.0,1.6,2.8,0.7,0.0,3230588.0,-0.105,-0.222,0.166,297.6,43.24,23.29
p1,349,2020.0,9.0,29.0,11.0,43.0,1.7,2.8,0.7,0.0,3230589.0,-0.106,-0.222,0.166,297.6,43.26,23.28
p1,350,2020.0,9.0,29.0,11.0,43.0,1.8,2.8,0.7,0.0,3230590.0,-0.008,-0.212,0.11699999999999999,297.6,43.23,23.28
p1,351,2020.0,9.0,29.0,11.0,43.0,1.9,2.8,0.7,0.0,3230591.0,-0.008,-0.212,0.11699999999999999,297.6,43.31,23.35
p1,352,2020.0,9.0,29.0,11.0,43.0,2.0,2.8,0.7,0.0,3230592.0,-0.008,-0.212,0.11699999999999999,297.6,43.25,23.27
p1,353,2020.0,9.0,29.0,11.0,43.0,2.1,2.8,0.7,0.0,3230593.0,0.042,-0.251,0.18600000000000003,297.5,43.24,23.29
p1,354,2020.0,9.0,29.0,11.0,43.0,2.2,2.8,0.7,0.0,3230594.0,0.04,-0.251,0.18600000000000003,297.5,43.25,23.28
p1,355,2020.0,9.0,29.0,11.0,43.0,2.3,2.8,0.7,0.0,3230595.0,0.040999999999999995,-0.163,0.11699999999999999,297.6,43.24,23.28
p1,356,2020.0,9.0,29.0,11.0,43.0,2.4,2.8,0.7,0.0,3230596.0,0.040999999999999995,-0.16399999999999998,0.11800000000000001,297.6,43.25,23.29
p1,357,2020.0,9.0,29.0,11.0,43.0,2.5,2.8,0.7,0.0,3230597.0,0.040999999999999995,-0.162,0.11699999999999999,297.6,43.25,23.27
p1,358,2020.0,9.0,29.0,11.0,43.0,2.6,2.8,0.7,0.0,3230598.0,-0.027000000000000003,-0.251,0.166,297.7,43.24,23.29
p1,359,2020.0,9.0,29.0,11.0,43.0,2.7,2.8,0.7,0.0,3230599.0,-0.027000000000000003,-0.252,0.166,297.7,43.25,23.28
p1,360,2020.0,9.0,29.0,11.0,43.0,2.8,2.8,0.7,0.0,3230600.0,-0.066,-0.213,0.146,297.8,43.23,23.27
p1,361,2020.0,9.0,29.0,11.0,43.0,2.9,2.8,0.7,0.0,3230601.0,-0.067,-0.212,0.147,297.8,43.25,23.29
p1,362,2020.0,9.0,29.0,11.0,43.0,3.0,2.8,0.7,0.0,3230602.0,-0.067,-0.21100000000000002,0.147,297.8,43.24,23.27
