"TOA5","10329","CR6","10329","CR6.Std.09.01 CR6-WIFI.04.00.01","CPU:YOUNG81000_HMP60_10Hz.CR6","51185","Young10Hz_hmp"
"TIMESTAMP","RECORD","U","V","W","TSonic","RH","T_HMP60"
"TS","RN","mV","mV","mV","mV","%","Deg C"
"","","Smp","Smp","Smp","Smp","Smp","Smp"
"2020-10-04 05:30:51",4459287,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:30:51.1",4459288,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:30:51.2",4459289,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:30:51.3",4459290,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:30:51.4",4459291,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:30:51.5",4459292,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:30:51.6",4459293,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:30:51.7",4459294,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:30:51.8",4459295,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:30:51.9",4459296,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:30:52",4459297,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:30:52.1",4459298,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:30:52.2",4459299,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:30:52.3",4459300,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:30:52.4",4459301,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:30:52.5",4459302,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:30:52.6",4459303,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:30:52.7",4459304,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:30:52.8",4459305,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:30:52.9",4459306,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:30:53",4459307,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:30:53.1",4459308,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:30:53.2",4459309,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:30:53.3",4459310,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:30:53.4",4459311,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:30:53.5",4459312,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:30:53.6",4459313,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:30:53.7",4459314,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:30:53.8",4459315,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:30:53.9",4459316,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:30:54",4459317,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:30:54.1",4459318,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:30:54.2",4459319,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:30:54.3",4459320,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:30:54.4",4459321,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:30:54.5",4459322,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:30:54.6",4459323,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:30:54.7",4459324,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:30:54.8",4459325,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:30:54.9",4459326,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:30:55",4459327,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:30:55.1",4459328,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:30:55.2",4459329,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:30:55.3",4459330,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:30:55.4",4459331,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:30:55.5",4459332,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:30:55.6",4459333,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:30:55.7",4459334,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:30:55.8",4459335,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:30:55.9",4459336,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:30:56",4459337,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:30:56.1",4459338,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:30:56.2",4459339,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:30:56.3",4459340,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:30:56.4",4459341,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:30:56.5",4459342,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:30:56.6",4459343,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:30:56.7",4459344,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:30:56.8",4459345,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:30:56.9",4459346,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:30:57",4459347,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:30:57.1",4459348,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:30:57.2",4459349,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:30:57.3",4459350,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:30:57.4",4459351,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:30:57.5",4459352,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:30:57.6",4459353,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:30:57.7",4459354,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:30:57.8",4459355,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:30:57.9",4459356,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:30:58",4459357,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:30:58.1",4459358,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:30:58.2",4459359,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:30:58.3",4459360,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:30:58.4",4459361,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:30:58.5",4459362,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:30:58.6",4459363,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:30:58.7",4459364,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:30:58.8",4459365,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:30:58.9",4459366,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:30:59",4459367,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:30:59.1",4459368,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:30:59.2",4459369,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:30:59.3",4459370,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:30:59.4",4459371,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:30:59.5",4459372,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:30:59.6",4459373,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:30:59.7",4459374,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:30:59.8",4459375,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:30:59.9",4459376,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:00",4459377,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:00.1",4459378,-10,-10,-10,220,-0.008,-40.02
"2020-10-04 05:31:00.2",4459379,-10,-10,-10,220,-0.008,-40.02
"2020-10-04 05:31:00.3",4459380,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:00.4",4459381,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:00.5",4459382,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:00.6",4459383,-10,-10,-10,220,-0.002,-40.01
"2020-10-04 05:31:00.7",4459384,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:00.8",4459385,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:00.9",4459386,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:01",4459387,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:01.1",4459388,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:01.2",4459389,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:01.3",4459390,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:01.4",4459391,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:01.5",4459392,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:01.6",4459393,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:01.7",4459394,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:01.8",4459395,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:01.9",4459396,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:02",4459397,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:02.1",4459398,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:02.2",4459399,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:02.3",4459400,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:02.4",4459401,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:02.5",4459402,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:02.6",4459403,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:02.7",4459404,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:02.8",4459405,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:02.9",4459406,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:03",4459407,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:03.1",4459408,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:03.2",4459409,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:03.3",4459410,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:03.4",4459411,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:03.5",4459412,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:03.6",4459413,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:03.7",4459414,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:03.8",4459415,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:03.9",4459416,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:04",4459417,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:04.1",4459418,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:04.2",4459419,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:04.3",4459420,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:04.4",4459421,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:04.5",4459422,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:04.6",4459423,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:04.7",4459424,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:04.8",4459425,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:04.9",4459426,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:05",4459427,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:05.1",4459428,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:05.2",4459429,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:05.3",4459430,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:05.4",4459431,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:05.5",4459432,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:05.6",4459433,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:05.7",4459434,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:05.8",4459435,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:05.9",4459436,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:06",4459437,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:06.1",4459438,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:06.2",4459439,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:06.3",4459440,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:06.4",4459441,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:06.5",4459442,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:06.6",4459443,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:06.7",4459444,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:06.8",4459445,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:06.9",4459446,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:07",4459447,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:07.1",4459448,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:07.2",4459449,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:07.3",4459450,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:07.4",4459451,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:07.5",4459452,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:07.6",4459453,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:07.7",4459454,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:07.8",4459455,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:07.9",4459456,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:08",4459457,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:08.1",4459458,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:08.2",4459459,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:08.3",4459460,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:08.4",4459461,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:08.5",4459462,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:08.6",4459463,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:08.7",4459464,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:08.8",4459465,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:08.9",4459466,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:09",4459467,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:09.1",4459468,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:09.2",4459469,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:09.3",4459470,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:09.4",4459471,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:09.5",4459472,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:09.6",4459473,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:09.7",4459474,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:09.8",4459475,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:09.9",4459476,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:10",4459477,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:10.1",4459478,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:10.2",4459479,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:10.3",4459480,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:10.4",4459481,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:10.5",4459482,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:10.6",4459483,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:10.7",4459484,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:10.8",4459485,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:10.9",4459486,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:11",4459487,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:11.1",4459488,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:11.2",4459489,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:11.3",4459490,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:11.4",4459491,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:11.5",4459492,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:11.6",4459493,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:11.7",4459494,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:11.8",4459495,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:11.9",4459496,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:12",4459497,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:12.1",4459498,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:12.2",4459499,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:12.3",4459500,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:12.4",4459501,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:12.5",4459502,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:12.6",4459503,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:12.7",4459504,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:12.8",4459505,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:12.9",4459506,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:13",4459507,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:13.1",4459508,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:13.2",4459509,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:13.3",4459510,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:13.4",4459511,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:13.5",4459512,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:13.6",4459513,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:13.7",4459514,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:13.8",4459515,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:13.9",4459516,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:14",4459517,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:14.1",4459518,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:14.2",4459519,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:14.3",4459520,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:14.4",4459521,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:14.5",4459522,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:14.6",4459523,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:14.7",4459524,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:14.8",4459525,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:14.9",4459526,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:15",4459527,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:15.1",4459528,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:15.2",4459529,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:15.3",4459530,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:15.4",4459531,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:15.5",4459532,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:15.6",4459533,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:15.7",4459534,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:15.8",4459535,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:15.9",4459536,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:16",4459537,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:16.1",4459538,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:16.2",4459539,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:16.3",4459540,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:16.4",4459541,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:16.5",4459542,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:16.6",4459543,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:16.7",4459544,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:16.8",4459545,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:16.9",4459546,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:17",4459547,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:17.1",4459548,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:17.2",4459549,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:17.3",4459550,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:17.4",4459551,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:17.5",4459552,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:17.6",4459553,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:17.7",4459554,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:17.8",4459555,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:17.9",4459556,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:18",4459557,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:18.1",4459558,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:18.2",4459559,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:18.3",4459560,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:18.4",4459561,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:18.5",4459562,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:18.6",4459563,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:18.7",4459564,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:18.8",4459565,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:18.9",4459566,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:19",4459567,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:19.1",4459568,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:19.2",4459569,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:19.3",4459570,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:19.4",4459571,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:19.5",4459572,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:19.6",4459573,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:19.7",4459574,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:19.8",4459575,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:19.9",4459576,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:20",4459577,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:20.1",4459578,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:20.2",4459579,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:20.3",4459580,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:20.4",4459581,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:20.5",4459582,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:20.6",4459583,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:20.7",4459584,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:20.8",4459585,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:20.9",4459586,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:21",4459587,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:21.1",4459588,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:21.2",4459589,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:21.3",4459590,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:21.4",4459591,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:21.5",4459592,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:21.6",4459593,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:21.7",4459594,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:21.8",4459595,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:21.9",4459596,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:22",4459597,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:22.1",4459598,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:22.2",4459599,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:22.3",4459600,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:22.4",4459601,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:22.5",4459602,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:22.6",4459603,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:22.7",4459604,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:22.8",4459605,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:22.9",4459606,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:23",4459607,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:23.1",4459608,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:23.2",4459609,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:23.3",4459610,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:23.4",4459611,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:23.5",4459612,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:23.6",4459613,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:23.7",4459614,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:23.8",4459615,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:23.9",4459616,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:24",4459617,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:24.1",4459618,-10,-10,-10,220,-0.001,-40.01
"2020-10-04 05:31:24.2",4459619,-10,-10,-10,220,-0.001,-40.01
