"TOA5","10329","CR6","10329","CR6.Std.09.01 CR6-WIFI.04.00.01","CPU:YOUNG81000_HMP60_10Hz.CR6","51185","Young10Hz_hmp"
"TIMESTAMP","RECORD","U","V","W","TSonic","RH","T_HMP60"
"TS","RN","mV","mV","mV","mV","%","Deg C"
"","","Smp","Smp","Smp","Smp","Smp","Smp"
"2020-10-07 21:45:51",7636287,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:45:51.1",7636288,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:45:51.2",7636289,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:45:51.3",7636290,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:45:51.4",7636291,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:45:51.5",7636292,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:45:51.6",7636293,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:45:51.7",7636294,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:45:51.8",7636295,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:45:51.9",7636296,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:45:52",7636297,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:45:52.1",7636298,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:45:52.2",7636299,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:45:52.3",7636300,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:45:52.4",7636301,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:45:52.5",7636302,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:45:52.6",7636303,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:45:52.7",7636304,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:45:52.8",7636305,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:45:52.9",7636306,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:45:53",7636307,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:45:53.1",7636308,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:45:53.2",7636309,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:45:53.3",7636310,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:45:53.4",7636311,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:45:53.5",7636312,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:45:53.6",7636313,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:45:53.7",7636314,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:45:53.8",7636315,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:45:53.9",7636316,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:45:54",7636317,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:45:54.1",7636318,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:45:54.2",7636319,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:45:54.3",7636320,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:45:54.4",7636321,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:45:54.5",7636322,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:45:54.6",7636323,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:45:54.7",7636324,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:45:54.8",7636325,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:45:54.9",7636326,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:45:55",7636327,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:45:55.1",7636328,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:45:55.2",7636329,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:45:55.3",7636330,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:45:55.4",7636331,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:45:55.5",7636332,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:45:55.6",7636333,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:45:55.7",7636334,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:45:55.8",7636335,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:45:55.9",7636336,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:45:56",7636337,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:45:56.1",7636338,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:45:56.2",7636339,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:45:56.3",7636340,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:45:56.4",7636341,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:45:56.5",7636342,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:45:56.6",7636343,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:45:56.7",7636344,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:45:56.8",7636345,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:45:56.9",7636346,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:45:57",7636347,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:45:57.1",7636348,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:45:57.2",7636349,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:45:57.3",7636350,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:45:57.4",7636351,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:45:57.5",7636352,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:45:57.6",7636353,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:45:57.7",7636354,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:45:57.8",7636355,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:45:57.9",7636356,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:45:58",7636357,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:45:58.1",7636358,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:45:58.2",7636359,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:45:58.3",7636360,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:45:58.4",7636361,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:45:58.5",7636362,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:45:58.6",7636363,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:45:58.7",7636364,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:45:58.8",7636365,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:45:58.9",7636366,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:45:59",7636367,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:45:59.1",7636368,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:45:59.2",7636369,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:45:59.3",7636370,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:45:59.4",7636371,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:45:59.5",7636372,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:45:59.6",7636373,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:45:59.7",7636374,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:45:59.8",7636375,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:45:59.9",7636376,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:00",7636377,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:00.1",7636378,-10,-10,-10,220,-0.008,-40.02
"2020-10-07 21:46:00.2",7636379,-10,-10,-10,220,-0.008,-40.02
"2020-10-07 21:46:00.3",7636380,-10,-10,-10,220,-0.002,-40
"2020-10-07 21:46:00.4",7636381,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:00.5",7636382,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:00.6",7636383,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:00.7",7636384,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:00.8",7636385,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:00.9",7636386,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:01",7636387,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:01.1",7636388,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:01.2",7636389,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:01.3",7636390,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:01.4",7636391,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:01.5",7636392,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:01.6",7636393,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:01.7",7636394,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:01.8",7636395,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:01.9",7636396,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:02",7636397,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:02.1",7636398,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:02.2",7636399,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:02.3",7636400,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:02.4",7636401,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:02.5",7636402,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:02.6",7636403,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:02.7",7636404,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:02.8",7636405,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:02.9",7636406,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:03",7636407,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:03.1",7636408,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:03.2",7636409,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:03.3",7636410,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:03.4",7636411,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:03.5",7636412,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:03.6",7636413,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:03.7",7636414,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:03.8",7636415,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:03.9",7636416,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:04",7636417,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:04.1",7636418,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:04.2",7636419,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:04.3",7636420,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:04.4",7636421,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:04.5",7636422,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:04.6",7636423,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:04.7",7636424,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:04.8",7636425,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:04.9",7636426,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:05",7636427,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:05.1",7636428,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:05.2",7636429,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:05.3",7636430,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:05.4",7636431,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:05.5",7636432,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:05.6",7636433,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:05.7",7636434,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:05.8",7636435,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:05.9",7636436,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:06",7636437,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:06.1",7636438,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:06.2",7636439,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:06.3",7636440,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:06.4",7636441,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:06.5",7636442,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:06.6",7636443,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:06.7",7636444,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:06.8",7636445,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:06.9",7636446,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:07",7636447,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:07.1",7636448,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:07.2",7636449,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:07.3",7636450,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:07.4",7636451,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:07.5",7636452,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:07.6",7636453,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:07.7",7636454,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:07.8",7636455,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:07.9",7636456,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:08",7636457,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:08.1",7636458,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:08.2",7636459,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:08.3",7636460,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:08.4",7636461,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:08.5",7636462,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:08.6",7636463,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:08.7",7636464,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:08.8",7636465,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:08.9",7636466,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:09",7636467,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:09.1",7636468,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:09.2",7636469,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:09.3",7636470,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:09.4",7636471,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:09.5",7636472,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:09.6",7636473,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:09.7",7636474,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:09.8",7636475,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:09.9",7636476,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:10",7636477,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:10.1",7636478,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:10.2",7636479,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:10.3",7636480,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:10.4",7636481,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:10.5",7636482,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:10.6",7636483,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:10.7",7636484,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:10.8",7636485,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:10.9",7636486,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:11",7636487,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:11.1",7636488,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:11.2",7636489,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:11.3",7636490,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:11.4",7636491,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:11.5",7636492,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:11.6",7636493,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:11.7",7636494,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:11.8",7636495,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:11.9",7636496,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:12",7636497,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:12.1",7636498,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:12.2",7636499,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:12.3",7636500,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:12.4",7636501,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:12.5",7636502,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:12.6",7636503,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:12.7",7636504,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:12.8",7636505,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:12.9",7636506,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:13",7636507,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:13.1",7636508,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:13.2",7636509,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:13.3",7636510,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:13.4",7636511,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:13.5",7636512,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:13.6",7636513,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:13.7",7636514,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:13.8",7636515,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:13.9",7636516,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:14",7636517,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:14.1",7636518,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:14.2",7636519,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:14.3",7636520,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:14.4",7636521,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:14.5",7636522,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:14.6",7636523,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:14.7",7636524,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:14.8",7636525,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:14.9",7636526,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:15",7636527,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:15.1",7636528,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:15.2",7636529,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:15.3",7636530,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:15.4",7636531,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:15.5",7636532,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:15.6",7636533,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:15.7",7636534,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:15.8",7636535,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:15.9",7636536,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:16",7636537,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:16.1",7636538,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:16.2",7636539,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:16.3",7636540,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:16.4",7636541,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:16.5",7636542,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:16.6",7636543,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:16.7",7636544,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:16.8",7636545,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:16.9",7636546,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:17",7636547,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:17.1",7636548,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:17.2",7636549,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:17.3",7636550,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:17.4",7636551,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:17.5",7636552,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:17.6",7636553,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:17.7",7636554,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:17.8",7636555,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:17.9",7636556,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:18",7636557,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:18.1",7636558,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:18.2",7636559,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:18.3",7636560,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:18.4",7636561,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:18.5",7636562,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:18.6",7636563,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:18.7",7636564,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:18.8",7636565,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:18.9",7636566,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:19",7636567,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:19.1",7636568,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:19.2",7636569,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:19.3",7636570,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:19.4",7636571,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:19.5",7636572,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:19.6",7636573,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:19.7",7636574,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:19.8",7636575,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:19.9",7636576,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:20",7636577,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:20.1",7636578,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:20.2",7636579,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:20.3",7636580,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:20.4",7636581,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:20.5",7636582,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:20.6",7636583,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:20.7",7636584,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:20.8",7636585,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:20.9",7636586,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:21",7636587,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:21.1",7636588,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:21.2",7636589,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:21.3",7636590,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:21.4",7636591,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:21.5",7636592,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:21.6",7636593,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:21.7",7636594,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:21.8",7636595,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:21.9",7636596,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:22",7636597,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:22.1",7636598,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:22.2",7636599,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:22.3",7636600,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:22.4",7636601,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:22.5",7636602,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:22.6",7636603,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:22.7",7636604,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:22.8",7636605,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:22.9",7636606,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:23",7636607,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:23.1",7636608,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:23.2",7636609,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:23.3",7636610,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:23.4",7636611,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:23.5",7636612,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:23.6",7636613,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:23.7",7636614,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:23.8",7636615,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:23.9",7636616,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:24",7636617,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:24.1",7636618,-10,-10,-10,220,-0.003,-40.01
"2020-10-07 21:46:24.2",7636619,-10,-10,-10,220,-0.003,-40.01
