"TOA5","10329","CR6","10329","CR6.Std.09.01 CR6-WIFI.04.00.01","CPU:YOUNG81000_HMP60_10Hz.CR6","51185","Young10Hz_hmp"
"TIMESTAMP","RECORD","U","V","W","TSonic","RH","T_HMP60"
"TS","RN","mV","mV","mV","mV","%","Deg C"
"","","Smp","Smp","Smp","Smp","Smp","Smp"
"2020-10-05 02:55:51",5230287,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:55:51.1",5230288,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:55:51.2",5230289,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:55:51.3",5230290,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:55:51.4",5230291,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:55:51.5",5230292,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:55:51.6",5230293,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:55:51.7",5230294,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:55:51.8",5230295,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:55:51.9",5230296,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:55:52",5230297,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:55:52.1",5230298,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:55:52.2",5230299,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:55:52.3",5230300,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:55:52.4",5230301,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:55:52.5",5230302,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:55:52.6",5230303,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:55:52.7",5230304,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:55:52.8",5230305,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:55:52.9",5230306,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:55:53",5230307,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:55:53.1",5230308,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:55:53.2",5230309,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:55:53.3",5230310,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:55:53.4",5230311,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:55:53.5",5230312,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:55:53.6",5230313,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:55:53.7",5230314,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:55:53.8",5230315,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:55:53.9",5230316,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:55:54",5230317,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:55:54.1",5230318,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:55:54.2",5230319,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:55:54.3",5230320,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:55:54.4",5230321,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:55:54.5",5230322,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:55:54.6",5230323,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:55:54.7",5230324,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:55:54.8",5230325,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:55:54.9",5230326,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:55:55",5230327,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:55:55.1",5230328,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:55:55.2",5230329,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:55:55.3",5230330,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:55:55.4",5230331,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:55:55.5",5230332,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:55:55.6",5230333,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:55:55.7",5230334,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:55:55.8",5230335,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:55:55.9",5230336,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:55:56",5230337,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:55:56.1",5230338,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:55:56.2",5230339,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:55:56.3",5230340,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:55:56.4",5230341,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:55:56.5",5230342,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:55:56.6",5230343,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:55:56.7",5230344,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:55:56.8",5230345,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:55:56.9",5230346,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:55:57",5230347,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:55:57.1",5230348,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:55:57.2",5230349,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:55:57.3",5230350,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:55:57.4",5230351,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:55:57.5",5230352,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:55:57.6",5230353,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:55:57.7",5230354,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:55:57.8",5230355,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:55:57.9",5230356,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:55:58",5230357,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:55:58.1",5230358,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:55:58.2",5230359,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:55:58.3",5230360,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:55:58.4",5230361,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:55:58.5",5230362,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:55:58.6",5230363,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:55:58.7",5230364,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:55:58.8",5230365,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:55:58.9",5230366,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:55:59",5230367,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:55:59.1",5230368,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:55:59.2",5230369,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:55:59.3",5230370,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:55:59.4",5230371,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:55:59.5",5230372,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:55:59.6",5230373,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:55:59.7",5230374,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:55:59.8",5230375,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:55:59.9",5230376,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:00",5230377,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:00.1",5230378,-10,-10,-10,220,-0.008,-40.02
"2020-10-05 02:56:00.2",5230379,-10,-10,-10,220,-0.008,-40.02
"2020-10-05 02:56:00.3",5230380,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:00.4",5230381,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:00.5",5230382,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:00.6",5230383,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:00.7",5230384,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:00.8",5230385,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:00.9",5230386,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:01",5230387,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:01.1",5230388,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:01.2",5230389,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:01.3",5230390,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:01.4",5230391,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:01.5",5230392,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:01.6",5230393,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:01.7",5230394,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:01.8",5230395,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:01.9",5230396,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:02",5230397,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:02.1",5230398,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:02.2",5230399,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:02.3",5230400,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:02.4",5230401,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:02.5",5230402,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:02.6",5230403,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:02.7",5230404,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:02.8",5230405,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:02.9",5230406,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:03",5230407,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:03.1",5230408,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:03.2",5230409,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:03.3",5230410,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:03.4",5230411,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:03.5",5230412,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:03.6",5230413,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:03.7",5230414,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:03.8",5230415,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:03.9",5230416,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:04",5230417,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:04.1",5230418,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:04.2",5230419,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:04.3",5230420,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:04.4",5230421,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:04.5",5230422,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:04.6",5230423,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:04.7",5230424,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:04.8",5230425,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:04.9",5230426,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:05",5230427,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:05.1",5230428,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:05.2",5230429,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:05.3",5230430,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:05.4",5230431,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:05.5",5230432,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:05.6",5230433,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:05.7",5230434,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:05.8",5230435,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:05.9",5230436,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:06",5230437,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:06.1",5230438,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:06.2",5230439,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:06.3",5230440,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:06.4",5230441,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:06.5",5230442,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:06.6",5230443,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:06.7",5230444,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:06.8",5230445,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:06.9",5230446,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:07",5230447,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:07.1",5230448,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:07.2",5230449,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:07.3",5230450,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:07.4",5230451,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:07.5",5230452,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:07.6",5230453,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:07.7",5230454,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:07.8",5230455,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:07.9",5230456,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:08",5230457,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:08.1",5230458,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:08.2",5230459,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:08.3",5230460,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:08.4",5230461,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:08.5",5230462,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:08.6",5230463,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:08.7",5230464,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:08.8",5230465,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:08.9",5230466,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:09",5230467,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:09.1",5230468,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:09.2",5230469,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:09.3",5230470,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:09.4",5230471,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:09.5",5230472,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:09.6",5230473,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:09.7",5230474,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:09.8",5230475,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:09.9",5230476,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:10",5230477,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:10.1",5230478,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:10.2",5230479,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:10.3",5230480,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:10.4",5230481,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:10.5",5230482,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:10.6",5230483,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:10.7",5230484,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:10.8",5230485,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:10.9",5230486,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:11",5230487,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:11.1",5230488,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:11.2",5230489,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:11.3",5230490,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:11.4",5230491,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:11.5",5230492,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:11.6",5230493,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:11.7",5230494,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:11.8",5230495,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:11.9",5230496,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:12",5230497,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:12.1",5230498,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:12.2",5230499,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:12.3",5230500,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:12.4",5230501,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:12.5",5230502,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:12.6",5230503,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:12.7",5230504,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:12.8",5230505,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:12.9",5230506,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:13",5230507,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:13.1",5230508,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:13.2",5230509,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:13.3",5230510,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:13.4",5230511,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:13.5",5230512,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:13.6",5230513,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:13.7",5230514,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:13.8",5230515,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:13.9",5230516,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:14",5230517,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:14.1",5230518,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:14.2",5230519,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:14.3",5230520,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:14.4",5230521,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:14.5",5230522,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:14.6",5230523,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:14.7",5230524,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:14.8",5230525,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:14.9",5230526,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:15",5230527,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:15.1",5230528,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:15.2",5230529,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:15.3",5230530,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:15.4",5230531,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:15.5",5230532,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:15.6",5230533,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:15.7",5230534,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:15.8",5230535,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:15.9",5230536,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:16",5230537,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:16.1",5230538,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:16.2",5230539,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:16.3",5230540,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:16.4",5230541,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:16.5",5230542,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:16.6",5230543,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:16.7",5230544,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:16.8",5230545,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:16.9",5230546,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:17",5230547,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:17.1",5230548,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:17.2",5230549,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:17.3",5230550,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:17.4",5230551,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:17.5",5230552,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:17.6",5230553,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:17.7",5230554,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:17.8",5230555,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:17.9",5230556,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:18",5230557,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:18.1",5230558,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:18.2",5230559,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:18.3",5230560,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:18.4",5230561,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:18.5",5230562,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:18.6",5230563,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:18.7",5230564,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:18.8",5230565,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:18.9",5230566,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:19",5230567,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:19.1",5230568,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:19.2",5230569,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:19.3",5230570,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:19.4",5230571,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:19.5",5230572,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:19.6",5230573,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:19.7",5230574,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:19.8",5230575,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:19.9",5230576,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:20",5230577,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:20.1",5230578,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:20.2",5230579,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:20.3",5230580,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:20.4",5230581,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:20.5",5230582,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:20.6",5230583,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:20.7",5230584,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:20.8",5230585,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:20.9",5230586,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:21",5230587,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:21.1",5230588,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:21.2",5230589,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:21.3",5230590,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:21.4",5230591,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:21.5",5230592,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:21.6",5230593,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:21.7",5230594,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:21.8",5230595,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:21.9",5230596,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:22",5230597,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:22.1",5230598,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:22.2",5230599,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:22.3",5230600,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:22.4",5230601,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:22.5",5230602,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:22.6",5230603,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:22.7",5230604,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:22.8",5230605,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:22.9",5230606,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:23",5230607,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:23.1",5230608,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:23.2",5230609,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:23.3",5230610,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:23.4",5230611,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:23.5",5230612,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:23.6",5230613,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:23.7",5230614,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:23.8",5230615,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:23.9",5230616,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:24",5230617,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:24.1",5230618,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 02:56:24.2",5230619,-10,-10,-10,220,-0.001,-40.01
