x,y,theta
980.0,77.0,0.0
979.6666666666666,77.0,0.0
979.3333333333334,77.0,0.0
979.0,77.0,0.0
979.0,77.0,0.0
978.6666666666666,77.0,0.0
978.3333333333334,77.0,0.0
978.0,77.0,0.0
978.0,77.0,0.0
977.6666666666666,77.0,0.0
977.3333333333334,77.0,0.0
977.0,77.0,0.0
977.0,77.0,0.0
976.6666666666666,77.0,0.0
976.3333333333334,77.0,0.0
976.0,77.0,0.0
976.0,77.0,0.0
975.6666666666666,77.0,0.0
975.3333333333334,77.0,0.0
975.0,77.0,0.0
975.0,77.0,0.0
974.6666666666666,77.0,0.0
974.3333333333334,77.0,0.0
974.0,77.0,0.0
974.0,77.0,0.0
973.6666666666666,77.0,0.0
973.3333333333334,77.0,0.0
973.0,77.0,0.0
973.0,77.0,0.0
972.6666666666666,77.0,0.0
972.3333333333334,77.0,0.0
972.0,77.0,0.0
972.0,77.0,0.0
971.6666666666666,77.0,0.0
971.3333333333334,77.0,0.0
971.0,77.0,0.0
971.0,77.0,0.0
970.6666666666666,77.0,0.0
970.3333333333334,77.0,0.0
970.0,77.0,0.0
970.0,77.0,0.0
969.6666666666666,77.0,0.0
969.3333333333334,77.0,0.0
969.0,77.0,0.0
969.0,77.0,0.0
968.6666666666666,77.0,0.0
968.3333333333334,77.0,0.0
968.0,77.0,0.0
968.0,77.0,0.0
967.6666666666666,77.0,0.0
967.3333333333334,77.0,0.0
967.0,77.0,0.0
967.0,77.0,0.0
966.6666666666666,77.0,0.0
966.3333333333334,77.0,0.0
966.0,77.0,0.0
966.0,77.0,0.0
965.6666666666666,77.0,0.0
965.3333333333334,77.0,0.0
965.0,77.0,0.0
965.0,77.0,0.0
964.6666666666666,77.0,0.0
964.3333333333334,77.0,0.0
964.0,77.0,0.0
964.0,77.0,0.0
963.6666666666666,77.0,0.0
963.3333333333334,77.0,0.0
963.0,77.0,0.0
963.0,77.0,0.0
962.6666666666666,77.0,0.0
962.3333333333334,77.0,0.0
962.0,77.0,0.0
962.0,77.0,0.0
961.6666666666666,77.0,0.0
961.3333333333334,77.0,0.0
961.0,77.0,0.0
961.0,77.0,0.0
960.6666666666666,77.0,0.0
960.3333333333334,77.0,0.0
960.0,77.0,0.0
960.0,77.0,0.0
959.6666666666666,77.0,0.0
959.3333333333334,77.0,0.0
959.0,77.0,0.0
959.0,77.0,0.0
958.6666666666666,77.0,0.0
958.3333333333334,77.0,0.0
958.0,77.0,0.0
958.0,77.0,0.0
957.6666666666666,77.0,0.0
957.3333333333334,77.0,0.0
957.0,77.0,0.0
957.0,77.0,0.0
956.6666666666666,77.0,0.0
956.3333333333334,77.0,0.0
956.0,77.0,0.0
956.0,77.0,0.0
955.6666666666666,77.0,0.0
955.3333333333334,77.0,0.0
955.0,77.0,0.0
955.0,77.0,0.0
954.6666666666666,77.0,0.0
954.3333333333334,77.0,0.0
954.0,77.0,0.0
954.0,77.0,0.0
953.6666666666666,77.0,0.0
953.3333333333334,77.0,0.0
953.0,77.0,0.0
953.0,77.0,0.0
952.6666666666666,77.0,0.0
952.3333333333334,77.0,0.0
952.0,77.0,0.0
952.0,77.0,0.0
951.6666666666666,77.0,0.0
951.3333333333334,77.0,0.0
951.0,77.0,0.0
951.0,77.0,0.0
950.6666666666666,77.0,0.0
950.3333333333334,77.0,0.0
950.0,77.0,0.0
950.0,77.0,0.0
949.6666666666666,77.0,0.0
949.3333333333334,77.0,0.0
949.0,77.0,0.0
949.0,77.0,0.0
948.6666666666666,77.0,0.0
948.3333333333334,77.0,0.0
948.0,77.0,0.0
948.0,77.0,0.0
947.6666666666666,77.0,0.0
947.3333333333334,77.0,0.0
947.0,77.0,0.0
947.0,77.0,0.0
946.6666666666666,77.0,0.0
946.3333333333334,77.0,0.0
946.0,77.0,0.0
946.0,77.0,0.0
945.6666666666666,77.0,0.0
945.3333333333334,77.0,0.0
945.0,77.0,0.0
945.0,77.0,0.0
944.6666666666666,77.0,0.0
944.3333333333334,77.0,0.0
944.0,77.0,0.0
944.0,77.0,0.0
943.6666666666666,77.0,0.0
943.3333333333334,77.0,0.0
943.0,77.0,0.0
943.0,77.0,0.0
942.6666666666666,77.0,0.0
942.3333333333334,77.0,0.0
942.0,77.0,0.0
