x,y,theta
991.0,77.0,0.0
990.6666666666666,77.33333333333333,0.0
990.3333333333334,77.66666666666667,0.0
990.0,78.0,0.0
990.0,78.0,0.0
989.6666666666666,78.33333333333333,0.0
989.3333333333334,78.66666666666667,0.0
989.0,79.0,0.0
989.0,79.0,0.0
988.6666666666666,79.33333333333333,0.0
988.3333333333334,79.66666666666667,0.0
988.0,80.0,0.0
988.0,80.0,0.0
987.6666666666666,80.33333333333333,0.0
987.3333333333334,80.66666666666667,0.0
987.0,81.0,0.0
987.0,81.0,0.0
986.6666666666666,81.33333333333333,0.0
986.3333333333334,81.66666666666667,0.0
986.0,82.0,0.0
986.0,82.0,0.0
985.6666666666666,82.33333333333333,0.0
985.3333333333334,82.66666666666667,0.0
985.0,83.0,0.0
985.0,83.0,0.0
984.6666666666666,83.33333333333333,0.0
984.3333333333334,83.66666666666667,0.0
984.0,84.0,0.0
984.0,84.0,0.0
983.6666666666666,84.0,0.0
983.3333333333334,84.0,0.0
983.0,84.0,0.0
983.0,84.0,0.0
982.6666666666666,84.0,0.0
982.3333333333334,84.0,0.0
982.0,84.0,0.0
982.0,84.0,0.0
981.6666666666666,84.0,0.0
981.3333333333334,84.0,0.0
981.0,84.0,0.0
981.0,84.0,0.0
980.6666666666666,84.0,0.0
980.3333333333334,84.0,0.0
980.0,84.0,0.0
980.0,84.0,0.0
979.6666666666666,84.0,0.0
979.3333333333334,84.0,0.0
979.0,84.0,0.0
979.0,84.0,0.0
978.6666666666666,84.0,0.0
978.3333333333334,84.0,0.0
978.0,84.0,0.0
978.0,84.0,0.0
977.6666666666666,84.0,0.0
977.3333333333334,84.0,0.0
977.0,84.0,0.0
977.0,84.0,0.0
976.6666666666666,84.0,0.0
976.3333333333334,84.0,0.0
976.0,84.0,0.0
976.0,84.0,0.0
975.6666666666666,84.0,0.0
975.3333333333334,84.0,0.0
975.0,84.0,0.0
975.0,84.0,0.0
974.6666666666666,84.0,0.0
974.3333333333334,84.0,0.0
974.0,84.0,0.0
974.0,84.0,0.0
973.6666666666666,84.0,0.0
973.3333333333334,84.0,0.0
973.0,84.0,0.0
973.0,84.0,0.0
972.6666666666666,84.0,0.0
972.3333333333334,84.0,0.0
972.0,84.0,0.0
972.0,84.0,0.0
971.6666666666666,84.0,0.0
971.3333333333334,84.0,0.0
971.0,84.0,0.0
971.0,84.0,0.0
970.6666666666666,84.0,0.0
970.3333333333334,84.0,0.0
970.0,84.0,0.0
970.0,84.0,0.0
969.6666666666666,84.0,0.0
969.3333333333334,84.0,0.0
969.0,84.0,0.0
969.0,84.0,0.0
968.6666666666666,84.0,0.0
968.3333333333334,84.0,0.0
968.0,84.0,0.0
968.0,84.0,0.0
967.6666666666666,84.0,0.0
967.3333333333334,84.0,0.0
967.0,84.0,0.0
967.0,84.0,0.0
966.6666666666666,84.0,0.0
966.3333333333334,84.0,0.0
966.0,84.0,0.0
966.0,84.0,0.0
965.6666666666666,84.0,0.0
965.3333333333334,84.0,0.0
965.0,84.0,0.0
965.0,84.0,0.0
964.6666666666666,84.0,0.0
964.3333333333334,84.0,0.0
